code	value_en	description_en	synonym	chrLocation	chrBand	tissueType	codesystem	description_code
CDK4	cyclin-dependent kinase 4		1019,CDK4,ENSG00000135446,P11802	12:57748525-57751717	12q14	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1019
CDK6	cyclin-dependent kinase 6	Tumour TYPE: ALL	1021,CDK6,ENSG00000105810,Q00534	7:92615140-92833323	7q21-q22	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1021
CDKN1A	cyclin dependent kinase inhibitor 1A	Tumour TYPE: bladder cancer	1026,CDKN1,CDKN1A,ENSG00000124762,P38936	6:36684102-36685800	6p21.2	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1026
CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	Tumour TYPE: breast, small intestine neuroendocrine tumours	1027,CDKN1B,ENSG00000111276,P46527	12:12717840-12718946	12p13.1-p12	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1027
CDKN2A	cyclin-dependent kinase inhibitor 2A (p16(INK4a)) gene	Tumour TYPE: melanoma, multiple other tumour types	1029,CDKN2,CDKN2A,ENSG00000147889,MLM,P42771	9:21968229-21974827	9p21	L,E,M,O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1029
CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	Tumour TYPE: glioma, MM	1031,CDKN2C,ENSG00000123080,P42773	1:50970369-50974270	1p32	O,L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1031
CDX2	caudal type homeo box transcription factor 2	Tumour TYPE: AML	1045,CDX2,CDX3,ENSG00000165556,Q99626	13:27963115-27969006	13q12.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1045
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	Tumour TYPE: AML, MDS	1050,CEBP,CEBPA,ENSG00000245848,P49715	19:33301338-33302414	19q13.1	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1050
CEP89	centrosomal protein 89kDa	Tumour TYPE: Spitzoid tumour	84902,CCDC123,CEP89,ENSG00000121289,Q96ST8	19:32879162-32971874	19q13.11	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=84902
CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	Tumour TYPE: salivary adenoma	79145,CHCHD7,ENSG00000170791,Q9BUK0	8:56214614-56217435	8q11.2	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=79145
CHD2	chromodomain helicase DNA binding protein 2	Tumour TYPE: melanoma, large intestine, CLL, monoclonal B lymphocytosis	1106,CHD2,ENSG00000173575,O14647	15:92901238-93020325	15q26.1	E,L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1106
CHD4	chromodomain helicase DNA binding protein 4	Tumour TYPE: uterine serous carcinoma	1108,CHD4,ENSG00000111642,Q14839	12:6570676-6606373	12p13	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1108
CHEK2	CHK2 checkpoint homolog (S. pombe)		11200,CHEK2,ENSG00000183765,O96017,RAD53	22:28687897-28734721	22q12.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=11200
CHIC2	cysteine-rich hydrophobic domain 2	Tumour TYPE: AML	26511,CHIC2,ENSG00000109220,Q9UKJ5	4:54010095-54064300	4q11-q12	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=26511
CHST11	carbohydrate sulfotransferase 11	Tumour TYPE: B-CLL	50515,CHST11,ENSG00000171310,Q9NPF2	12:104457412-104757803	12q23.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=50515
CIC	capicua homolog	Tumour TYPE: oligodendroglioma, soft tissue sarcoma	23152,CIC,ENSG00000079432	19:42284705-42295191	19q13.2	O,M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=23152
CIITA	class II, major histocompatibility complex, transactivator	Tumour TYPE: PMBL, Hodgkin lymphoma	4261,CIITA,ENSG00000179583,MHC2TA,P33076	16:10877332-10923304	16p13	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=4261
CLIP1	CAP-GLY domain containing linker protein 1	Tumour TYPE: Spitzoid tumour	6249,CLIP1,ENSG00000130779,P30622,RSN	12:122272875-122380452	12q24.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=6249
CLP1	cleavage and polyadenylation factor I subunit 1	Tumour TYPE: AML	10978,CLP1,ENSG00000172409,Q92989	11:57659477-57661436	11q12	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=10978
CLTC	clathrin, heavy polypeptide (Hc)	Tumour TYPE: ALCL, renal	1213,CLTC,CLTCL2,ENSG00000141367,Q00610	17:59620133-59693853	17q11-qter	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1213
CLTCL1	clathrin, heavy polypeptide-like 1	Tumour TYPE: ALCL	8218,CLTCL,CLTCL1,ENSG00000070371,P53675	22:19180219-19291641	22q11.21	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8218
CNBD1	cyclic nucleotide binding domain containing 1	Tumour TYPE: gastric cancer, colon cancer	168975,CNBD1,ENSG00000176571,Q8NA66	8:86866496-87382627	8q21.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=168975
CNBP	CCHC-type zinc finger, nucleic acid binding protein	Tumour TYPE: aneurysmal bone cyst	7555,CNBP,DM2,ENSG00000169714,P62633,ZNF9	3:129170453-129171757	3q21	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=7555
CNOT3	CCR4-NOT transcription complex subunit 3	Tumour TYPE: T-ALL	4849,CNOT3,ENSG00000088038,NOT3,O75175	19:54142979-54155407	19q13.4	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=4849
CNTNAP2	contactin associated protein like 2	Tumour TYPE: glioma, melanoma	26047,CNTNAP2,ENSG00000174469,Q9UHC6	7:146116877-148415616	7q35-q36.1	E,O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=26047
CNTRL	centriolin	Tumour TYPE: MPN, NHL	11064,CEP1,CEP110,CNTRL,ENSG00000119397,Q7Z7A1	9:121088328-121177187	9q33.2	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=11064
COL1A1	collagen, type I, alpha 1	Tumour TYPE: DFSP, aneurysmal bone cyst	1277,COL1A1,ENSG00000108821,P02452	17:50185502-50201513	17q21.31-q22	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1277
COL2A1	collagen, type II, alpha 1	Tumour TYPE: chondrosarcoma, enchondroma	1280,AOM,COL2A1,ENSG00000139219,P02458,SEDC	12:47973407-48004321	12q13.11	L,E,M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1280
COL3A1	collagen type III alpha 1 chain	Tumour TYPE: lipoblastoma	1281,COL3A1,EDS4A,ENSG00000168542,P02461	2:188974490-189011774	2q32.2	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1281
COX6C	cytochrome c oxidase subunit VIc	Tumour TYPE: uterine leiomyoma	1345,COX6C,ENSG00000164919,P09669	8:99878148-99892021	8q22-q23	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1345
CPEB3	cytoplasmic polyadenylation element binding protein 3	Tumour TYPE: lung cancer	22849,CPEB3,ENSG00000107864,Q8NE35	10:92052212-92240350	10q23.32	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=22849
CREB1	cAMP responsive element binding protein 1	Tumour TYPE: clear cell sarcoma, angiomatoid fibrous histiocytoma	1385,CREB1,ENSG00000118260,P16220	2:207555637-207597059	2q34	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1385
CREB3L1	cAMP responsive element binding protein 3-like 1	Tumour TYPE: myxofibrosarcoma	90993,CREB3L1,ENSG00000157613,Q96BA8	11:46278112-46320746	11p11.2	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=90993
CREB3L2	cAMP responsive element binding protein 3-like 2	Tumour TYPE: fibromyxoid sarcoma	64764,CREB3L2,ENSG00000182158,Q70SY1	7:137880476-138001705	7q34	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=64764
CREBBP	CREB binding protein (CBP)	Tumour TYPE: ALL, AML, DLBCL, B-NHL	1387,CREBBP,ENSG00000005339,Q92793,RSTS	16:3727718-3879916	16p13.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1387
CRLF2	cytokine receptor-like factor 2			X,Y:1196780-1212634	Xp22.3		COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=64109
CRNKL1	crooked neck pre-mRNA splicing factor 1	Tumour TYPE: base cell carcinoma	51340,CRNKL1,ENSG00000101343,Q9BZJ0	20:20036195-20056014	20p11.23	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=51340
CRTC1	CREB regulated transcription coactivator 1	Tumour TYPE: salivary gland mucoepidermoid	23373,CRTC1,ENSG00000105662,MECT1,Q6UUV9	19:18683703-18777382	19p13.11	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=23373
CRTC3	CREB regulated transcription coactivator 3	Tumour TYPE: salivary gland mucoepidermoid	64784,CRTC3,ENSG00000140577,Q6UUV7	15:90530072-90642140	15q26.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=64784
CSF1R	colony stimulating factor 1 receptor	Tumour TYPE: MDS, CML, AML, hemangioblastoma, CCRCC	1436,CSF1R,ENSG00000182578,FMS,P07333	5:150054069-150086427	5q32	L,M,E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1436
CSF3R	colony stimulating factor 3 receptor (granulocyte)	Tumour TYPE: aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS	1441,CD114,CSF3R,ENSG00000119535,Q99062	1:36466357-36479496	1p35-p34.4	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1441
CSMD3	CUB and Sushi multiple domains 3	Tumour TYPE: ovarian cancer, oral SCC, lung cancer	114788,CSMD3,ENSG00000164796,Q7Z407	8:112224771-113436854	8q23.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=114788
CTCF	CCCTC-binding factor	Tumour TYPE: endometrial, breast, head and neck cancer	10664,CTCF,ENSG00000102974,P49711	16:67610833-67637872	16q22.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=10664
CTNNA2	catenin alpha 2	Tumour TYPE: gastric cancer		###############################################################################################################################################################################################################################################################	2p12	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1496
CTNNB1	catenin (cadherin-associated protein), beta 1	Tumour TYPE: colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types	1499,CTNNB,CTNNB1,ENSG00000168036,P35222	3:41224069-41239342	3p22-p21.3	E,M,O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1499
CTNND1	catenin delta 1	Tumour TYPE: large intestine carcinoma	1500,CTNND,CTNND1,ENSG00000198561,O60716	11:57791479-57816308	11q12.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1500
CTNND2	catenin delta 2	Tumour TYPE: prostae adenocarcinoma, GIST	1501,CTNND2,ENSG00000169862,Q9UQB3	5:10973453-11903853	5p15.2	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1501
CUL3	cullin 3	Tumour TYPE: lung cancer	8452,CUL3,ENSG00000036257,Q13618	2:224474245-224585009	2q36.2	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8452
CUX1	cut-like homeobox 1	Tumour TYPE: endometrial, melanoma, colorectal, AML, MDS, other tumour types	1523,CUTL1,CUX1,ENSG00000257923,P39880	7:101817640-102249042	7q22.1	E,L,M,O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1523
CXCR4	C-X-C motif chemokine receptor 4	Tumour TYPE: WM	7852,CXCR4,ENSG00000121966,P61073	2:136114869-136115939	2q21	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=7852
CYLD	familial cylindromatosis gene	Tumour TYPE: cylindroma	1540,CYLD,CYLD1,ENSG00000083799,Q9NQC7	16:50749699-50796508	16q12-q13	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1540
CYP2C8	cytochrome P450 family 2 subfamily C member 8	Tumour TYPE: melanoma	1558,CPC8,CYP2C8,ENSG00000138115,P450 MP-12/MP-20,P450MP-12/MP-20	10:95037128-95069402	10q23.33	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1558
CYSLTR2	cysteinyl leukotriene receptor 2	Tumour TYPE: uveal melanoma	57105,CYSLTR2,ENSG00000152207,Q9NS75	13:48706818-48707858	13q14.2	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=57105
DAXX	death-domain associated protein	Tumour TYPE: pancreatic neuroendocrine tumour, paediatric glioblastoma	1616,DAXX,ENSG00000204209,Q9UER7	6:33318743-33321925	6p21.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1616
DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	Tumour TYPE: CRC	340578,DCAF12L2,ENSG00000198354,Q5VW00,WDR40C	X:126164533-126165924	Xq25	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=340578
DCC	DCC netrin 1 receptor	Tumour TYPE: CRC, melanoma, SCC	1630,DCC,ENSG00000187323,P43146	18:52340788-53530653	18q21.2	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1630
DCTN1	dynactin 1	Tumour TYPE: inflammatory myofibroblastic tumour, Spitzoid tumour	1639,DCTN1,ENSG00000204843,Q14203	2:74361499-74380037	2p13	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1639
DDB2	damage-specific DNA binding protein 2		1643,DDB2,ENSG00000134574,Q92466	11:47215137-47238849	11p12	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1643
DDIT3	DNA-damage-inducible transcript 3	Tumour TYPE: liposarcoma	1649,DDIT3,ENSG00000175197,P35638	12:57516809-57517406	12q13.1-q13.2	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1649
DDR2	discoidin domain receptor 2	Tumour TYPE: squamous cell carcinoma, NSCLC	4921,DDR2,ENSG00000162733,NTRKR3,Q16832,TYRO10	1:162719064-162780246	1q12-q23	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=4921
DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	Tumour TYPE: AML*	1662,DDX10,ENSG00000178105,Q13206	11:108665154-108940423	11q22-q23	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1662
DDX3X	DEAD-box helicase 3, X-linked	Tumour TYPE: CLL, medulloblastoma	1654,DDX3,DDX3X,ENSG00000215301,O00571	X:41334253-41347719	Xp11.4	L,O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1654
DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	Tumour TYPE: prostate	1655,DDX5,ENSG00000108654,G17P1,HLR1,P17844	17:64499923-64506119	17q21	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1655
DDX6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	Tumour TYPE: B-NHL	1656,DDX6,ENSG00000110367,HLR2,P26196	11:118754712-118786218	11q23.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1656
DEK	DEK oncogene (DNA binding)	Tumour TYPE: AML	7913,DEK,ENSG00000124795,P35659	6:18225719-18263987	6p23	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=7913
DGCR8	DGCR8, microprocessor complex subunit	Tumour TYPE: Wilms tumour	54487,C22orf12,DGCR8,ENSG00000128191,Q8WYQ5	22:20085964-20110108	22q11.21	O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=54487
DICER1	dicer 1, ribonuclease type III	Tumour TYPE: sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types	23405,DICER1,ENSG00000100697,MNG1,Q9UPY3	14:95090498-95133458	14q32.13	E,M,O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=23405
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	Tumour TYPE: fibrolamellar hepatocellular carcinoma	3337,DNAJB1,ENSG00000132002,HSPF1,P25685	19:14515940-14518349	19p13.2	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3337
DNM2	dynamin 2	Tumour TYPE: T-ALL	1785,DNM2,ENSG00000079805,P50570	19:10718243-10831047	19p13.2	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1785
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	Tumour TYPE: AML	1788,DNMT3A,ENSG00000119772,Q9Y6K1	2:25234279-25313984	2p23	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1788
DROSHA	drosha ribonuclease III	Tumour TYPE: Wilms tumour, NSCLC, bladder carcinoma	29102,DROSHA,ENSG00000113360,Q9NRR4,RNASEN	5:31401432-31529059	5q11.2	E,O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=29102
DUX4L1	double homeobox 4 like 1	Tumour TYPE: soft tissue sarcoma	22947,DUX4,ENSG00000258389	4:190084229-190085686	4q35	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=22947
EBF1	early B-cell factor 1	Tumour TYPE: lipoma	1879,EBF,EBF1,ENSG00000164330,Q9UH73	5:158699111-159099478	5q34	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1879
ECT2L	epithelial cell transforming sequence 2 oncogene-like	Tumour TYPE: ETP ALL	345930,C6orf91,ECT2L,ENSG00000203734,Q008S8	6:138813275-138902627	6q24.1	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=345930
EED	embryonic ectoderm development	Tumour TYPE: malignant peripheral nerve sheath tumours, MDS and related, lung adenocarcinoma	8726,EED,ENSG00000074266,O75530	11:86245230-86278525	11q14.2	E,L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8726
EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	Tumour TYPE: glioma, NSCLC	1956,EGFR,ENSG00000146648,ERBB,P00533	7:55019278-55205617	7p12.3-p12.1	E,O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1956
EIF1AX	eukaryotic translation initiation factor 1A, X-linked	Tumour TYPE: uveal melanoma, thyroid cancer (PDTC and ATC), low grade serous ovarian cancer	1964,EIF1A,EIF1AX,EIF4C,ENSG00000173674,P47813	X:20128306-20141640	Xp22.12	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1964
EIF3E	eukaryotic translation initiation factor 3, subunit E	Tumour TYPE: colorectal	3646,EIF3E,EIF3S6,ENSG00000104408,INT6,P60228	8:108201885-108248702	8q22-q23	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=3646
EIF4A2	eukaryotic translation initiation factor 4A, isoform 2	Tumour TYPE: NHL	1974,EIF4A2,EIF4F,ENSG00000156976,Q14240	3:186783611-186789269	3q27.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1974
ELF3	E74 like ETS transcription factor 3	Tumour TYPE: pancreatic cancer	1999,ELF3,ENSG00000163435,ESX,P78545	1:202011137-202015323	1q32.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1999
ELF4	E74-like factor 4 (ets domain transcription factor)	Tumour TYPE: AML	2000,ELF4,ENSG00000102034,Q99607	X:130066721-130081330	Xq26	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2000
ELK4	ELK4, ETS-domain protein (SRF accessory protein 1)	Tumour TYPE: prostate	2005,ELK4,ENSG00000158711,P28324	1:205616546-205623882	1q32	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2005
ELL	ELL gene (11-19 lysine-rich leukemia gene)	Tumour TYPE: AL	8178,C19orf17,ELL,ENSG00000105656,P55199	19:18444752-18522055	19p13.1	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8178
ELN	elastin	Tumour TYPE: B-ALL	2006,ELN,ENSG00000049540,P15502	7:74028188-74068700	7q11.23	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2006
EML4	echinoderm microtubule associated protein like 4	Tumour TYPE: NSCLC	27436,C2orf2,EML4,ENSG00000143924,Q9HC35	2:42169613-42330208	2p21	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=27436
EP300	300 kd E1A-Binding protein gene	Tumour TYPE: colorectal, breast, pancreatic, AML, ALL, DLBCL	2033,ENSG00000100393,EP300,Q09472	22:41093005-41178956	22q13	L,E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2033
EPAS1	endothelial PAS domain protein 1	Tumour TYPE: paraganglioma, pheochromocytoma, central nervous system hemangioblastomas	2034,ENSG00000116016,EPAS1,Q99814	2:46297912-46384660	2p21-p16	E,M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2034
EPHA3	EPH receptor A3	Tumour TYPE: lung cancer, CRC, melanoma	2042,ENSG00000044524,EPHA3,ETK,ETK1,P29320,TYRO4	3:89107749-89479502	3p11.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2042
EPHA7	EPH receptor A7	Tumour TYPE: CRC, melanoma	2045,ENSG00000135333,EPHA7,Q15375	6:93243426-93419341	6q16.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2045
EPS15	epidermal growth factor receptor pathway substrate 15 (AF1p)	Tumour TYPE: ALL	2060,ENSG00000085832,EPS15,P42566	1:51356700-51519231	1p32	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2060
ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	Tumour TYPE: breast, ovarian, other tumour types, NSCLC, gastric	2064,ENSG00000141736,ERBB2,HER2,NGL,P04626	17:39700239-39728044	17q21.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2064
ERBB3	erb-b2 receptor tyrosine kinase 3	Tumour TYPE: colon, gastric, head and neck, bladder, skin	2065,ENSG00000065361,ERBB3,LCCS2,P21860	12:56080301-56102055	12q13	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2065
ERBB4	erb-b2 receptor tyrosine kinase 4	Tumour TYPE: melanoma, gastric, NSCLC	2066,ENSG00000178568,ERBB4,Q15303	2:211383615-212538530	2q33.3-q34	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2066
ERC1	ELKS/RAB6-interacting/CAST family member 1	Tumour TYPE: papillary thyroid, Spitzoid tumour	23085,ENSG00000082805,ERC1,Q8IUD2,RAB6IP2	12:1027904-1490230	12p13.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=23085
ERCC2	excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)		2068,ENSG00000104884,ERCC2,P18074,XPD	19:45351629-45370237	19q13.2-q13.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2068
ERCC3	excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)		2071,ENSG00000163161,ERCC3,P19447	2:127257596-127294081	2q21	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2071
ERCC4	excision repair cross-complementing rodent repair deficiency, complementation group 4		2072,ENSG00000175595,ERCC4,Q92889,XPF	16:13920166-13948347	16p13.3-p13.13	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2072
ERCC5	excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))		2073,ENSG00000134899,ERCC5,ERCM2,P28715,XPGC	13:102846267-102875903	13q33	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2073
ERG	v-ets erythroblastosis virus E26 oncogene like (avian)	Tumour TYPE: Ewing sarcoma, prostate, AML	2078,ENSG00000157554,ERG,P11308	21:38383403-38575700	21q22.3	M,E,L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2078
ESR1	estrogen receptor 1	Tumour TYPE: breast	2099,ENSG00000091831,ESR,ESR1,P03372	6:151807913-152098966	6q25.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2099
ETNK1	ethanolamine kinase 1	Tumour TYPE: aCML, CMML, SM-AHD, HES	55500,ENSG00000139163,ETNK1,Q9HBU6	12:22625164-22684954	12p12.1	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=55500
ETV1	ets variant gene 1	Tumour TYPE: Ewing sarcoma, prostate	2115,ENSG00000006468,ETV1,P50549	7:13895866-13989052	7p22	M,E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2115
ETV4	ets variant gene 4 (E1A enhancer binding protein, E1AF)	Tumour TYPE: Ewing sarcoma, prostate carcinoma	2118,ENSG00000175832,ETV4,P43268	17:43528519-43545617	17q21	M,E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2118
ETV5	ets variant gene 5	Tumour TYPE: prostate	2119,ENSG00000244405,ETV5,P41161	3:186048639-186105868	3q28	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2119
ETV6	ets variant gene 6 (TEL oncogene)	Tumour TYPE: congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS	2120,ENSG00000139083,ETV6,P41212	12:11650128-11891046	12p13	L,E,M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2120
EWSR1	Ewing sarcoma breakpoint region 1 (EWS)	Tumour TYPE: Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma	2130,ENSG00000182944,EWSR1,Q01844	22:29268337-29300161	22q12	L,M,E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2130
EXT1	multiple exostoses type 1 gene		2131,ENSG00000182197,EXT1,LGCR,LGS,Q16394	8:117799712-118111046	8q24.11-q24.13	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2131
EXT2	multiple exostoses type 2 gene		2132,ENSG00000151348,EXT2,Q93063	11:44107713-44244287	11p12-p11	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2132
EZH2	enhancer of zeste homolog 2	Tumour TYPE: DLBCL	2146,ENSG00000106462,EZH2,Q15910	7:148807646-148847298	7q35-q36	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=2146
EZR	ezrin	Tumour TYPE: NSCLC	7430,ENSG00000092820,EZR,P15311,VIL2	6:158766914-158818093	6q25.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=7430
FAM131B	family with sequence similarity 131, member B	Tumour TYPE: pilocytic astrocytoma	9715,ENSG00000159784,FAM131B,Q86XD5	7:143356550-143360093	7q34	O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=9715
FAM135B	family with sequence similarity 135 member B	Tumour TYPE: SCLC	51059,ENSG00000147724,FAM135B,Q49AJ0	8:138132593-138367983	8q24.23	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=51059
FAM46C	family with sequence similarity 46, member C	Tumour TYPE: MM	54855,ENSG00000183508,FAM46C,Q5VWP2	1:117622869-117624044	1p12	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=54855
