id	gene	label	synonym	chrLocation	refSeqId	locusType	linkPubmed	linkEnsembl
HGNC:28625	C8orf38	chromosome 8 open reading frame 38	MGC40214	8q22.1	NM_152416	gene with protein product	12477932	ENSG00000156170
HGNC:26406	SCLT1	sodium channel and clathrin linker 1	hCAP-1A|FLJ30655	4q28.2	NM_144643	gene with protein product	15797711	ENSG00000151466
HGNC:10725	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	SemE	7q21-q31	NM_006379	gene with protein product	7748561, 9168980	ENSG00000075223
HGNC:3347	EXOG	endo/exonuclease (5'-3'), endonuclease G-like	ENGL-b|ENGL-a|ENGL	3p21.3	NM_001145464	gene with protein product	10231028, 18187503	ENSG00000157036
HGNC:8742	PCP4	Purkinje cell protein 4	PEP-19	21q22.2	NM_006198	gene with protein product	8931698, 8914602	ENSG00000183036
HGNC:10808	SGCE	sarcoglycan, epsilon	NA	7q21.3	NM_001099400	gene with protein product	9475163, 9405466	ENSG00000127990
HGNC:5354	ICR3	ichthyosis congenita III, vulgaris-like recessive ichthyosis	NA	reserved	NA	phenotype only	NA	NA
HGNC:24341	COX17P1	COX17 cytochrome c oxidase assembly homolog (S. cerevisiae) pseudogene 1	NA	13q14.13	NG_001293	pseudogene	10982038	NA
HGNC:21400	FAM165A	family with sequence similarity 165, member A	bA33E24.4	6q14.3	NA	gene with protein product	NA	ENSG00000198738
HGNC:18150	MYO18B	myosin XVIIIB	BK125H2.1	22q12.1	NM_032608	gene with protein product	12209013, 12547197	ENSG00000133454
HGNC:29411	TMEM132D	transmembrane protein 132D	KIAA1944|MOLT	12q24.32-q24.33	NM_133448	gene with protein product	11853319, 12966072	ENSG00000151952
HGNC:14287	NLGN4X	neuroligin 4, X-linked	NLGN|HLNX|KIAA1260	Xp22.33	NM_020742	gene with protein product	10574462	ENSG00000146938
HGNC:23955	FAM41AY1	family with sequence similarity 41, member A, Y-linked 1	NA	Yq11.221	NR_028083	gene with protein product	12477932	ENSG00000226362
HGNC:36159	RPL29P15	ribosomal protein L29 pseudogene 15	NA	5q14.1	NG_011265	pseudogene	19123937	NA
HGNC:20478	WFDC11	WAP four-disulfide core domain 11	WAP11	20q12-q13.1	NM_147197	gene with protein product	12206714	ENSG00000180083
HGNC:18103	DEFB123	defensin, beta 123	DEFB-23	20q11.1	NM_153324	gene with protein product	11854508	ENSG00000180424
HGNC:36140	RPS2P55	ribosomal protein S2 pseudogene 55	NA	Xp11.4	NG_011221	pseudogene	19123937	NA
HGNC:22941	NLRP9	NLR family, pyrin domain containing 9	PAN12|CLR19.1|NOD6	19q13.43	NM_176820	gene with protein product	12563287	ENSG00000185792
HGNC:6664	LOX	lysyl oxidase	NA	5q23.3-q31.2	NM_001178102	gene with protein product	1685472	ENSG00000113083
HGNC:9558	PSMD13	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13	p40.5|Rpn9	11p15.5	NM_002817	gene with protein product	9714768, 8811196	ENSG00000185627
HGNC:638	AQP5	aquaporin 5	NA	12q13	NM_001651	gene with protein product	8621489	ENSG00000161798
HGNC:5108	HOXA7	homeobox A7	NA	7p15.2	NM_006896	gene with protein product	1973146, 1358459	ENSG00000122592
HGNC:35624	RPL36AP47	ribosomal protein L36a pseudogene 47	NA	17q23.2	NG_011347	pseudogene	19123937	NA
HGNC:16693	GPR162	G protein-coupled receptor 162	A-2|GRCA	12p13	NM_014449	gene with protein product	15777626	ENSG00000250510
HGNC:33405	KRT18P36	keratin 18 pseudogene 36	NA	9p21.1	NG_006016	pseudogene	NA	ENSG00000226246
HGNC:18549	TM7SF4	transmembrane 7 superfamily member 4	FIND|DC-STAMP	8q22	NM_030788	gene with protein product	11169400, 11345591	ENSG00000164935
HGNC:7797	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	MAD-3|IKBA|IkappaBalpha	14q13	NM_020529	gene with protein product	1829648	ENSG00000100906
HGNC:11241	SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	SFPI1|OF|SPI-A|PU.1|SPI-1	11p12-p11.22	NM_001080547	gene with protein product	1693183	ENSG00000066336
HGNC:13752	MYOZ1	myozenin 1	FATZ|CS-2	10q22.1	NM_021245	gene with protein product	11171996, 10984498	ENSG00000177791
HGNC:16909	NDC80	NDC80 homolog, kinetochore complex component (S. cerevisiae)	HEC|hsNDC80|HEC1|TID3	18p11.31	NM_006101	gene with protein product	9315664, 12351790	ENSG00000080986
HGNC:15608	NOLC1	nucleolar and coiled-body phosphoprotein 1	KIAA0035|NOPP140|P130|NOPP130	10q24.32	NM_004741	gene with protein product	7657714, 10567578	ENSG00000166197
HGNC:32727	SNORD66	small nucleolar RNA, C/D box 66	HBII-142	3q27.1	NR_003055	RNA, small nucleolar	11387227	ENSG00000212158
HGNC:2074	CLN3	ceroid-lipofuscinosis, neuronal 3	JNCL	16p12	NM_000086	gene with protein product	18317235	ENSG00000188603
HGNC:1749	CDH10	cadherin 10, type 2 (T2-cadherin)	NA	5p14.2	NM_001190450	gene with protein product	2059658	ENSG00000040731
HGNC:18530	NT5C3P1	5'-nucleotidase, cytosolic III pseudogene 1	UMPH1P	4q26	NG_000948	pseudogene	11369620	NA
HGNC:34946	TRNAT19	transfer RNA threonine 19 (anticodon UGU)	NA	1	NA	RNA, transfer	NA	NA
HGNC:26273	ZNF768	zinc finger protein 768	FLJ23436	16p11.2	NM_024671	gene with protein product	12477932	ENSG00000169957
HGNC:10592	SCN4B	sodium channel, voltage-gated, type IV, beta	NA	11q23.3	NM_001142348	gene with protein product	NA	ENSG00000177098
HGNC:2581	CYCSP42	cytochrome c, somatic pseudogene 42	NA	21q21.1	NG_002991	pseudogene	12909341	ENSG00000224524
HGNC:18169	FKBP10	FK506 binding protein 10, 65 kDa	FLJ23833|FLJ20683|hFKBP65|FLJ22041|FKBP6	17q21.2	NM_021939	gene with protein product	11071917, 18786928	NA
HGNC:28755	C1orf210	chromosome 1 open reading frame 210	MGC52423	1p34.2	NM_001164829	gene with protein product	12477932	ENSG00000184157
HGNC:28492	FAM76B	family with sequence similarity 76, member B	MGC33371	11q21	NM_144664	gene with protein product	12477932	ENSG00000077458
HGNC:21427	TMEM8B	transmembrane protein 8B	NGX6|NAG-5	9p13.3	NM_001042589	gene with protein product	12918109, 8619474	ENSG00000137103
HGNC:26281	CCDC81	coiled-coil domain containing 81	FLJ23514|FLJ16339	11q14.2	NM_001156474	gene with protein product	NA	ENSG00000149201
HGNC:28763	PGAM5	phosphoglycerate mutase family member 5	MGC5352|BXLBv68	12q24.33	NM_001170543	gene with protein product	11283018	ENSG00000176894
HGNC:18177	GIPC2	GIPC PDZ domain containing family, member 2	FLJ20075|SEMCAP-2	1p31.1	NM_017655	gene with protein product	11836570	ENSG00000137960
HGNC:1306	MPPED1	metallophosphoesterase domain containing 1	239AB|FAM1A	22q13.31	NM_001044370	gene with protein product	9266672, 10591208	ENSG00000186732
HGNC:5548	IGHV1-17	immunoglobulin heavy variable 1-17 pseudogene	NA	14q32.32-q32.33	NG_001019	immunoglobulin pseudogene	NA	ENSG00000226475
HGNC:10863	ST3GAL2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2	ST3GALII|ST3GalA.2	16q22.3	NM_006927	gene with protein product	9266697, 8920913	ENSG00000157350
HGNC:10816	SCG5	secretogranin V (7B2 protein)	SgV|7B2	15q13-q14	NM_001144757	gene with protein product	8162254, 12646671	ENSG00000166922
HGNC:6701	LRPAP1	low density lipoprotein receptor-related protein associated protein 1	HBP44	4p16.3	NM_002337	gene with protein product	1712782	ENSG00000163956
HGNC:24612	C17orf85	chromosome 17 open reading frame 85	HSA277841|ELG	17p13.2	NM_001114118	gene with protein product	11412301	ENSG00000074356
HGNC:20486	UBAC2	UBA domain containing 2	FLJ30548|RP11-178C10.1	13	NM_001144072	gene with protein product	NA	ENSG00000134882
HGNC:32355	CNOT6LP1	CCR4-NOT transcription complex, subunit 6-like pseudogene 1	NA	15q21.3	NG_009481	pseudogene	NA	NA
HGNC:25819	COQ10B	coenzyme Q10 homolog B (S. cerevisiae)	FLJ13448	2q33.1	NM_025147	gene with protein product	NA	ENSG00000115520
HGNC:14295	SHANK2	SH3 and multiple ankyrin repeat domains 2	SPANK-3|CTTNBP1|SHANK|ProSAP1	11q13.2	NM_012309	gene with protein product	10506216	ENSG00000162105
HGNC:17189	OLFM2	olfactomedin 2	OlfC|NOE2	19p13.2	NM_058164	gene with protein product	NA	ENSG00000105088
HGNC:23963	TUSC2P1	tumor suppressor candidate 2 pseudogene 1	NA	Yp11.2	NG_002812	pseudogene	12815422	NA
HGNC:11268	SPRR3	small proline-rich protein 3	NA	1q21-q22	NM_001097589	gene with protein product	8325635	ENSG00000163209
HGNC:16964	DCTN6	dynactin 6	WS-3	8p12-p11	NM_006571	gene with protein product	9168138	ENSG00000104671
HGNC:33460	RPL35AP4	ribosomal protein L35a pseudogene 4	BPG294E21.7|OTTHUMG00000140156	6p21	NG_009762	pseudogene	NA	ENSG00000226538
HGNC:36354	RPL23AP77	ribosomal protein L23a pseudogene 77	NA	18q11.2	NG_011124	pseudogene	19123937	NA
HGNC:13779	RNF24	ring finger protein 24	G1L	20p13	NM_001134337	gene with protein product	NA	ENSG00000101236
HGNC:31241	OR13Z2P	olfactory receptor, family 13, subfamily Z, member 2 pseudogene	NA	1	NG_004406	pseudogene	NA	NA
HGNC:16917	LRRC41	leucine rich repeat containing 41	MUF1	1p34.1	NM_006369	gene with protein product	11384984	ENSG00000132128
HGNC:1180	MPPED2	metallophosphoesterase domain containing 2	FAM1B|Hs.46638|dJ873F21.1|239FB|D11S302E|dJ1024C24.1	11p13	NM_001145399	gene with protein product	8666403, 9266672	ENSG00000066382
HGNC:16338	RPL36P1	ribosomal protein L36 pseudogene 1	bA80K6.3	20q13	NG_000983	pseudogene	19123937	ENSG00000230636
HGNC:18557	FAM10A6	family with sequence similarity 10, member A6	FAM10A6P	8q24.22	NG_007353	pseudogene	NA	NA
HGNC:32735	SNORD75	small nucleolar RNA, C/D box 75	U75	1q25.1	NR_003941	RNA, small nucleolar	15556860, 9819378	ENSG00000208310
HGNC:21474	INPP5E	inositol polyphosphate-5-phosphatase, 72 kDa	PPI5PIV	9q34.3	NM_019892	gene with protein product	10764818	ENSG00000148384
HGNC:34954	TRNAQ29	transfer RNA glutamine 29 (anticodon CUG)	NA	1	NA	RNA, transfer	NA	NA
HGNC:28314	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	MGC2217	8q11.23	NM_001011667	gene with protein product	12477932	ENSG00000170791
HGNC:27013	C2orf89	chromosome 2 open reading frame 89	NA	2p11.2	NM_001080824	gene with protein product	12477932	ENSG00000186854
HGNC:11332	SSTR3	somatostatin receptor 3	NA	22q13.1	NM_001051	gene with protein product	8449518	ENSG00000183473
HGNC:7391	MSX1	msh homeobox 1	HYD1|OFC5	4p16.2	NM_002448	gene with protein product	1685479, 1973146	ENSG00000163132
HGNC:4237	GFI1	growth factor independent 1 transcription repressor	NA	1p22	NM_001127215	gene with protein product	7789186	ENSG00000162676
HGNC:26914	PUSL1	pseudouridylate synthase-like 1	FLJ90811	1p36.33	NM_153339	gene with protein product	12477932	ENSG00000169972
HGNC:1343	TRAF3IP2	TRAF3 interacting protein 2	CIKS|ACT1|DKFZP586G0522	6q21	NM_001164281	gene with protein product	10962033, 10962024	ENSG00000056972
HGNC:35043	TRNASUP6P	transfer RNA suppressor 6 (anticodon CUA) pseudogene	NA	14q24.3	NG_008528	RNA, pseudogene	NA	NA
HGNC:10144	SNORD21	small nucleolar RNA, C/D box 21	U21	1p22.1	NR_000006	RNA, small nucleolar	7937132	NA
HGNC:9115	PMM2	phosphomannomutase 2	CDG1a|CDGS	16p13	NM_000303	gene with protein product	9140401	ENSG00000140650
HGNC:20730	ARMC9	armadillo repeat containing 9	KIAA1868|ARM|KU-MEL-1|FLJ12584	2q37.1	NM_025139	gene with protein product	11347906	ENSG00000135931
HGNC:12076	TRAJ45	T cell receptor alpha joining 45	NA	14q11.2	NG_001332	T cell receptor gene	8188290	NA
HGNC:252	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	ADH-2	4q22	NM_000670	gene with protein product	NA	ENSG00000198099
HGNC:33849	CLEC18B	C-type lectin domain family 18, member B	NA	16q22.3	NM_001011880	gene with protein product	NA	ENSG00000140839
HGNC:15214	OR52E5	olfactory receptor, family 52, subfamily E, member 5	NA	11p15.4	NG_005911	gene with protein product	NA	ENSG00000180947
HGNC:7309	MRX75	mental retardation, X-linked 75	NA	Xq24-q26	NA	phenotype only	10946355	NA
HGNC:12029	TRAC	T cell receptor alpha constant	NA	14q11.2	NG_001332	T cell receptor gene	3875483, 8188290	ENSG00000229164
HGNC:35762	RPL12P22	ribosomal protein L12 pseudogene 22	NA	5q35.2	NG_010396	pseudogene	19123937	NA
HGNC:2476	CST4	cystatin S	NA	20p11.2	NM_001899	gene with protein product	1801729	ENSG00000101441
HGNC:31611	MIR26A2	microRNA 26a-2	hsa-mir-26a-2	12q14.1	NR_029847	RNA, micro	NA	ENSG00000207789
HGNC:21025	C6orf64	chromosome 6 open reading frame 64	FLJ11101	6p21.1	NM_018322	gene with protein product	NA	ENSG00000112167
HGNC:33830	C13orf37	chromosome 13 open reading frame 37	RP11-11C5.2|MZT1|FLJ21869|LOC440145|MGC150539|MOZART1	13q22.1	NM_001071775	gene with protein product	20360068	ENSG00000204899
HGNC:25176	WDR92	WD repeat domain 92	FLJ31741|Monad	2p14	NM_138458	gene with protein product	16487927	ENSG00000243667
HGNC:6081	INS	insulin	NA	11p15.5	NM_001185098	gene with protein product	6243748	ENSG00000129965
HGNC:7871	NONO	non-POU domain containing, octamer-binding	P54|NRB54|P54NRB|NMT55	Xq13.1	NM_001145408	gene with protein product	8371983, 9360842	ENSG00000147140
HGNC:33349	UBE2D3P	ubiquitin-conjugating enzyme E2D 3 pseudogene	RP4-680N4|OTTHUMG00000031799	20p12.3	NG_006450	pseudogene	NA	ENSG00000225022
HGNC:25300	FBXL19	F-box and leucine-rich repeat protein 19	DKFZp434K0410|JHDM1C|Fbl19	16p11.2	NM_001099784	gene with protein product	NA	ENSG00000099364
HGNC:8474	OR8B5P	olfactory receptor, family 8, subfamily B, member 5 pseudogene	NA	11q25	NG_002204	pseudogene	NA	NA
HGNC:11477	MED22	mediator complex subunit 22	Med24	9q34.1	NM_133640	gene with protein product	8499913, 15175163	ENSG00000148297
HGNC:35262	MIR1181	microRNA 1181	hsa-mir-1181	19	NR_031592	RNA, micro	NA	NA
HGNC:38419	RCC2P2	regulator of chromosome condensation 2 pseudogene 2	NA	Yq11.223	NG_021918	pseudogene	NA	NA
HGNC:6668	LPAL1	lipoprotein, Lp(a)-like 1	NA	6q26-q27	NA	unknown	7679504	NA
HGNC:16547	FTLP1	ferritin, light polypeptide pseudogene 1	bA465L10.3	20q13.12	NG_001037	pseudogene	NA	ENSG00000235525
HGNC:31111	ARL5C	ADP-ribosylation factor-like 5C	NA	17q12	NM_001143968	gene with protein product	NA	ENSG00000141748
HGNC:9948	RECQL	RecQ protein-like (DNA helicase Q1-like)	RecQL1|RecQ1	12p12.1	NM_002907	gene with protein product	7527136, 7961977	ENSG00000004700
HGNC:6031	IL9RP1	interleukin 9 receptor pseudogene 1	NA	9q34	NA	pseudogene	8666384	NA
HGNC:7821	NID1	nidogen 1	enactin	1q43	NM_002508	gene with protein product	2471408, 7557988	ENSG00000116962
HGNC:10176	RNU3P2	RNA, U3 small nucleolar pseudogene 2	U3|U3.2	8p21.3	NG_001255	RNA, pseudogene	6186397	NA
HGNC:13051	ZNF259	zinc finger protein 259	ZPR1	11q23.3	NM_003904	gene with protein product	8650580, 9763455	ENSG00000109917
HGNC:10799	SFTPA2	surfactant protein A2	SP-A2|COLEC5	10q22.3	NM_001098668	gene with protein product	NA	ENSG00000185303
HGNC:15720	STRN3	striatin, calmodulin binding protein 3	SG2NA	14q13-q21	NM_001083893	gene with protein product	7864889, 10681496	ENSG00000196792
HGNC:17652	PORCN	porcupine homolog (Drosophila)	MG61|PPN|por|PORC	Xp11.23	NM_022825	gene with protein product	10866835, 12034504	ENSG00000102312
HGNC:20249	SPRED1	sprouty-related, EVH1 domain containing 1	FLJ33903	15q13.3	NM_152594	gene with protein product	NA	ENSG00000166068
HGNC:12200	TRBV22-1	T cell receptor beta variable 22-1 pseudogene	TCRBV22S1|TCRBV29S1P	7q34	NG_001333	T cell receptor pseudogene	8650574	ENSG00000240578
HGNC:27538	OR8U8	olfactory receptor, family 8, subfamily U, member 8	NA	11	NM_001013356	gene with protein product	NA	ENSG00000172199
HGNC:11857	TM4SF5	transmembrane 4 L six family member 5	NA	17p13.3	NM_003963	gene with protein product	9479038	ENSG00000142484
HGNC:25319	SLC25A31	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31	DKFZP434N1235|ANT4	4q28	NM_031291	gene with protein product	15670820	ENSG00000151475
HGNC:25945	ARL15	ADP-ribosylation factor-like 15	FLJ20051	5p15.2	NM_019087	gene with protein product	12477932	ENSG00000185305
HGNC:8638	KAT2B	K(lysine) acetyltransferase 2B	P/CAF|GCN5L|GCN5	3p24	NM_003884	gene with protein product	8684459, 9722949	ENSG00000114166
HGNC:20230	CSN1S2A	casein alpha s2-like A	NA	4q13.3	NR_003720	pseudogene	13679022	ENSG00000234124
HGNC:23880	OFD1P8Y	OFD1 pseudogene 8, Y-linked	NA	Yq11.223	NG_004755	pseudogene	12815422	ENSG00000231159
HGNC:29887	NLRP2P	NLR family, pyrin domain containing 2 pseudogene	NOD24|NALP2P	Xp11.1	NG_002752	pseudogene	12766759	NA
HGNC:495	ANKRD2	ankyrin repeat domain 2 (stretch responsive muscle)	ARPP	10q23	NM_001129981	gene with protein product	10873377, 15136035, 15677738	ENSG00000165887
HGNC:6876	MAPK14	mitogen-activated protein kinase 14	PRKM15|PRKM14|p38|Mxi2	6p21.3-p21.2	NM_001315	gene with protein product	7997261	ENSG00000112062
HGNC:20360	LRFN5	leucine rich repeat and fibronectin type III domain containing 5	SALM5|FIGLER8	14q21.1	NM_152447	gene with protein product	16828986	ENSG00000165379
HGNC:1153	BVR1	Burkitt lymphoma variant rearranging region 1	NA	8q24	NA	region	NA	NA
HGNC:8675	PCDHA9	protocadherin alpha 9	KIAA0345|PCDH-ALPHA9	5q31	NM_014005	protocadherin	10380929	ENSG00000204961
HGNC:33479	FEB7	febrile convulsions 7	NA	21q22	NA	phenotype only	17054683	NA
HGNC:35698	RPL7AP46	ribosomal protein L7a pseudogene 46	NA	9q12	NG_010499	pseudogene	19123937	NA
HGNC:20313	PKHD1L1	polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1	NA	8q23	NM_177531	gene with protein product	12620974	ENSG00000205038
HGNC:17063	RAB3GAP1	RAB3 GTPase activating protein subunit 1 (catalytic)	RAB3GAP130|KIAA0066|WARBM1|RAB3GAP	2q21.3	NM_001172435	gene with protein product	9030515, 15696165	ENSG00000115839
HGNC:4940	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	NA	6p21.3	NM_002121	gene with protein product	NA	ENSG00000236693
HGNC:17016	MYST2	MYST histone acetyltransferase 2	KAT7|HBO1|HBOA	17q21.32	NM_007067	gene with protein product	10438470, 10930412	ENSG00000136504
HGNC:19235	AATF	apoptosis antagonizing transcription factor	CHE-1|CHE1|DED	17q12	NM_012138	gene with protein product	11027528, 10783144	ENSG00000108270
HGNC:34584	TRNAR6	transfer RNA arginine 6 (anticodon UCG)	NA	9	NA	RNA, transfer	NA	NA
HGNC:26461	ZDHHC8P1	zinc finger, DHHC-type containing 8 pseudogene 1	FLJ31568	22q11.23	NR_003950	pseudogene	NA	ENSG00000133519
HGNC:10780	SRSF1	serine/arginine-rich splicing factor 1	SF2|SRp30a|ASF|SF2p33|MGC5228	17q22	NM_001078166	gene with protein product	8530103, 20516191	ENSG00000136450
HGNC:34537	TRNAH2	transfer RNA histidine 2 (anticodon GUG)	NA	15	NA	RNA, transfer	NA	NA
HGNC:364	AK3P1	adenylate kinase 3 pseudogene 1	NA	17	NG_001070	pseudogene	1639383	NA
HGNC:28680	CHAC1	ChaC, cation transport regulator homolog 1 (E. coli)	MGC4504	15q15.1	NM_001142776	gene with protein product	NA	ENSG00000128965
HGNC:5535	IGHJ2P	immunoglobulin heavy joining 2P pseudogene	Jpsi2	14q32.32-q32.33	NG_001019	immunoglobulin pseudogene	6101209	ENSG00000237547
HGNC:15850	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B	ANKRD4|KIAA0823|TIMAP	20q11.23	NM_001172735	gene with protein product	10048485, 12055102	ENSG00000101445
HGNC:28633	ARRDC1	arrestin domain containing 1	MGC40555	9q34.3	NM_152285	gene with protein product	12477932	ENSG00000197070
HGNC:15803	ANKRD5	ankyrin repeat domain 5	dJ839B4.6|FLJ21669	20pter-q11.23	NM_022096	gene with protein product	14702039	ENSG00000132623
HGNC:3596	FAT2	FAT tumor suppressor homolog 2 (Drosophila)	HFAT2|MEGF1|CDHR9|CDHF8	5q33.1	NM_001447	gene with protein product	9693030	ENSG00000086570
HGNC:14647	WHSC1L2P	Wolf-Hirschhorn syndrome candidate 1-like 2 (pseudogene)	HsT36289|NSD4P	17q21	NG_009508	pseudogene	11549311	NA
HGNC:9758	RAB1A	RAB1A, member RAS oncogene family	YPT1	2p14	NM_004161	gene with protein product	2501306	ENSG00000138069
HGNC:658	ARF5	ADP-ribosylation factor 5	NA	7q31.3	NM_001662	gene with protein product	1993656	ENSG00000004059
HGNC:31430	C10orf101	chromosome 10 open reading frame 101	Em:AC010163.1	10q22.3	NA	gene with protein product	NA	ENSG00000227136
HGNC:28180	C9orf125	chromosome 9 open reading frame 125	MGC12992	9q31.1	NM_032342	gene with protein product	12477932	ENSG00000165152
HGNC:33985	LETM1P2	leucine zipper-EF-hand containing transmembrane protein 1, pseudogene 2	NA	19q13.43	NG_007659	pseudogene	NA	NA
HGNC:28133	FAM167B	family with sequence similarity 167, member B	MGC10820	1p35.1	NM_032648	gene with protein product	12477932	ENSG00000183615
HGNC:36500	RPS26P55	ribosomal protein S26 pseudogene 55	NA	19q13.11	NG_010591	pseudogene	19123937	NA
HGNC:7315	MS4A1	membrane-spanning 4-domains, subfamily A, member 1	Bp35|MS4A2|B1	11q12-q13.1	NM_021950	gene with protein product	2448768	ENSG00000156738
HGNC:30465	EMB	embigin	MGC71745	5q11.1	NM_198449	gene with protein product	9438341	ENSG00000170571
HGNC:25236	SERTAD4	SERTA domain containing 4	DJ667H12.2	1q32.1-q41	NM_019605	gene with protein product	12477932	ENSG00000082497
HGNC:33603	FAM115D	family with sequence similarity 115, member D (pseudogene)	FLJ40722-like	7q35	NG_008025	pseudogene	NA	NA
HGNC:35822	RPS20P17	ribosomal protein S20 pseudogene 17	NA	5q35.3	NG_011240	pseudogene	19123937	NA
HGNC:30418	SH3D19	SH3 domain containing 19	SH3P19|EBP|EVE1|DKFZp434D0215|Kryn	4q31.3	NM_001009555	gene with protein product	12477932	ENSG00000109686
HGNC:789	ATF4P1	activating transcription factor 4 pseudogene 1	TAXREB67P	Xq28	NG_001080	pseudogene	8088803	NA
HGNC:27168	GPAT2	glycerol-3-phosphate acyltransferase 2, mitochondrial	CT123	2q11.2	NM_207328	gene with protein product	12477932	ENSG00000186281
HGNC:7151	GSDMC	gasdermin C	NA	8q24.21	NM_031415	gene with protein product	17350798	ENSG00000147697
HGNC:29387	KIAA1841	KIAA1841	NA	2p15	NM_001129993	gene with protein product	11347906	ENSG00000162929
HGNC:14002	CDK2AP1	cyclin-dependent kinase 2 associated protein 1	p12DOC-1|DOC1|DORC1|doc-1|ST19	12q24	NM_004642	gene with protein product	9331572, 9506968	ENSG00000111328
HGNC:23419	KIAA1279	KIAA1279	DKFZP586B0923|TTC20	10q22.1	NM_015634	gene with protein product	NA	ENSG00000198954
HGNC:23156	U2AF2	U2 small nuclear RNA auxiliary factor 2	U2AF65	19q13.43	NM_001012478	gene with protein product	1538748	ENSG00000063244
HGNC:25638	C4orf43	chromosome 4 open reading frame 43	FLJ11184	4q32.3	NM_018352	gene with protein product	12477932	ENSG00000198498
HGNC:23782	POLDIP3	polymerase (DNA-directed), delta interacting protein 3	KIAA1649|PDIP46	22q13.31	NM_032311	gene with protein product	12522211	ENSG00000100227
HGNC:37244	C19orf77	chromosome 19 open reading frame 77	HSPC323	19p13.3	NM_001136503	gene with protein product	NA	ENSG00000095932
HGNC:1785	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	P27KIP1|KIP1	12p13.1-p12	NM_004064	gene with protein product	8033212	ENSG00000111276
HGNC:5390	IDSP1	iduronate 2-sulfatase pseudogene 1	IDS2	Xq27.3-q28	NG_001149	pseudogene	7814022	ENSG00000176289
HGNC:26341	C2orf51	chromosome 2 open reading frame 51	TSC21|FLJ25369	2p11.2	NM_152670	gene with protein product	17091336	ENSG00000172073
HGNC:20885	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)	dJ473J16.2|LPAAT-delta	6q25.3	NM_020133	gene with protein product	NA	ENSG00000026652
HGNC:3584	FANCC	Fanconi anemia, complementation group C	FAC|FA3	9q22.3	NM_000136	gene with protein product	1303234	ENSG00000158169
HGNC:31449	C10orf115	chromosome 10 open reading frame 115	bA215C7.4	10p12.2	XR_040091	unknown	NA	ENSG00000204566
HGNC:28199	BUD13	BUD13 homolog (S. cerevisiae)	fSAP71|MGC13125	11q23.3	NM_001159736	gene with protein product	12477932	ENSG00000137656
HGNC:24989	HSPBP1	HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1	FES1|HspBP1	19q13.42	NM_001130106	gene with protein product	10786638, 9830037	ENSG00000133265
HGNC:15033	OR6K6	olfactory receptor, family 6, subfamily K, member 6	NA	1q23.1	NM_001005184	gene with protein product	NA	ENSG00000180433
HGNC:8284	OR3A3	olfactory receptor, family 3, subfamily A, member 3	OR17-16|OR17-201|OR17-137	17p13.3	NM_012373	gene with protein product	8004088, 9500546	ENSG00000159961
HGNC:23400	SEC11C	SEC11 homolog C (S. cerevisiae)	SPC21|SPCS4C	18q21.32	NM_033280	gene with protein product	NA	ENSG00000166562
HGNC:36519	RPS20P12	ribosomal protein S20 pseudogene 12	NA	2q37.1	NG_011214	pseudogene	19123937	NA
HGNC:33362	KRT8P8	keratin 8 pseudogene 8	NA	Xq28	NG_009749	pseudogene	NA	NA
HGNC:2236	COPG	coatomer protein complex, subunit gamma	COPG1	3q21.3	NM_016128	gene with protein product	11056392	ENSG00000181789
HGNC:34084	RNY5P3	RNA, Ro-associated Y5 pseudogene 3	NA	3q26.2	NG_016720	RNA, pseudogene	NA	NA
HGNC:31579	MIR200B	microRNA 200b	hsa-mir-200b	1p36.33	NR_029639	RNA, micro	NA	ENSG00000207730
HGNC:15163	OR4A6P	olfactory receptor, family 4, subfamily A, member 6 pseudogene	NA	11	NG_004329	pseudogene	NA	NA
HGNC:21307	DSG4	desmoglein 4	LAH|CDHF13	18q12.1	NM_001134453	gene with protein product	12648213	ENSG00000175065
HGNC:18057	SLC22A10	solute carrier family 22, member 10	hOAT5|OAT5	11q12.3	NM_001039752	gene with protein product	11327718	ENSG00000184999
HGNC:32861	MIR605	microRNA 605	hsa-mir-605	10q21.1	NR_030336	RNA, micro	NA	ENSG00000207813
HGNC:18301	SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14	GLUT14	12p13.31	NM_153449	gene with protein product	12504846	ENSG00000173262
HGNC:36386	RPS18P14	ribosomal protein S18 pseudogene 14	NA	22q12.2	NG_010112	pseudogene	19123937	NA
